DATAFLOW,LAST UPDATE,freq,currency,prod_ani,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IE,2014,198.95,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IE,2015,223.33,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IE,2016,206.88,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IE,2017,207.37,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IE,2018,197.74,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IE,2019,192.25,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IE,2020,199.01,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IE,2021,214.48,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IE,2022,234.78,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2000,195.08,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2001,188.39,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2002,199.85,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2003,193.01,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2004,187.49,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2005,210.23,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2006,221.19,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2007,206.78,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2008,221.67,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2009,220.18,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2010,216.99,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2011,232.15,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2012,252.04,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2013,253.44,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2014,255.21,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2015,257.37,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2016,253.78,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2017,259.00,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2018,261.87,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2019,263.20,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2020,260.78,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2021,267.38,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,IT,2022,318.65,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,LT,2000,59.62,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,LT,2001,93.40,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,LT,2002,78.97,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,LT,2003,58.79,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,LT,2004,71.23,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,LT,2005,93.30,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,LT,2006,101.71,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,LT,2007,97.02,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,LT,2008,117.76,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,LT,2009,110.61,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,LT,2010,115.90,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,LT,2011,146.35,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,LT,2012,152.2,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,LT,2013,144.84,
ESTAT:APRI_AP_ANOUTA(1.0),03/08/23 11:00:00,A,EUR,11110000,LT,2014,122.79,
